id,utterance_id,utterance
1 ,IEO         ,It's eleven o'clock
2 ,TIE         ,That is exactly what happened
3 ,IOM         ,I'm on my way to the meeting
4 ,IWW         ,I wonder what this is about
5 ,TAI         ,The airplane is almost full
6 ,MTI         ,Maybe tomorrow it will be cold
7 ,IWL         ,I would like a new alarm clock
8 ,ITH         ,I think I have a doctor's appointment
9 ,DFA         ,Don't forget a jacket
10,ITS         ,I think I've seen this before
11,TSI         ,The surface is slick
12,WSI         ,We'll stop in a couple of minutes